ItemNumber,Vendor Code,Sequence,Explanation,Pick Ticket Program,Invoice Program,Labels,R/A,O/E,P.O. Entry,P.O. Print,M.O. Entry,M.O. Print,P.O. Receiving,Web,Expiration Date,_merge,Company Code
821-0436,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
Z2017101703,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1092L,5660,1.0,also available as pair number 663-1092., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03049,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0475,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1020Y,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03061,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0460,6239,2.0,no fuel pump avail. at this time, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0489,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03053,6239,1.0,this is a 2 wire pump for 4 wire pump order 821-03054, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03020,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03042,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0433,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0422,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1020S,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0424,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0417,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0412,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0460,6239,1.0,"does not fit honda`13-15 nch50/2ac models,", , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0516,6239,6.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03031,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03053,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03001,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03023,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03034,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0430,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03033,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0500,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0414,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0409,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1025M,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
663-1090R,5660,1.0,also available as pair number 663-1090., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03064,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03004,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0518,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0488,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0411,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
421-0448,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0461,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0406,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0456,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0450,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03045,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03056,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03067,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1083R,5660,1.0,also available as pair number 663-1083., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0403,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0442,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0429,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0437,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03026,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03037,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03048,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03059,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0507,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1093R,5660,1.0,also available as pair number 663-1093., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03061,6239,2.0,"dia. pump, use 821-03031", , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03053,6239,8.0,24st pg418 cat error; doesn't fit cbr1000f hurricane, , , ,X,X, , , , , ,X,20250101.0,left_only,0
821-0400,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1020L,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0455,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03054,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-2339,5660,1.0,evs has individual graphic kits for each size. this is small, , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0434,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1091L,5660,1.0,also available as pair number 663-1091., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03029,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0473,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0418,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0468,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03060,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-9997,5660,1.0,must go through sale dept. fax qualifying invoice to todd., , , , ,X, , , , , , ,99999999.0,left_only,0
821-0453,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0431,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0472,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1025S,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0426,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0470,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03024,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0487,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1020X,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
663-1340,5660,2.0,for a black knee guard order part # 663-1341, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03030,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03041,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03063,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
