ADD/DEL,COMPANY #,WPS Item #,Sequence,"Explanation/Message (CAPS, 60)",PT/Pick Ticket Program,Invoice Program,Labels,Return Auth/Warranty (X or blank),Order Entry/Customer Service (X or blank),PO Entry,PO Form,MO Entry,MO Form,PO Receiving,WEB,Expiration Date
U,1.0,663-1077L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1077R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1077R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1080,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1080,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1080L,1.0,also available as pair number 663-1080., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1080L,2.0,For Warranties Contact EVS, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1080L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
D,1.0,663-1080L,4.0,PH: (262 788-7313 OR EMAIL RYAN@EVS-SPORTS.COM              , , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1080R,1.0,also available as pair number 663-1080., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1080R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1080R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081L,1.0,also available as pair number 663-1081., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1081L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081R,1.0,also available as pair number 663-1081., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1081R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1081R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082L,1.0,also available as pair number 663-1082., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1082L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082R,1.0,also available as pair number 663-1082., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1082R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1082R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083L,1.0,also available as pair number 663-1083., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1083L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083R,1.0,also available as pair number 663-1083., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1083R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1083R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1084R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1085R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1086R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1087R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090L,1.0,also available as pair number 663-1090., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1090L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090R,1.0,also available as pair number 663-1090., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1090R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1090R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091L,1.0,also available as pair number 663-1091., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1091L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091R,1.0,also available as pair number 663-1091., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1091R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1091R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092L,1.0,also available as pair number 663-1092., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1092L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092R,1.0,also available as pair number 663-1092., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1092R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1092R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093L,1.0,also available as pair number 663-1093., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1093L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093R,1.0,also available as pair number 663-1093., , , , ,X, , , , , ,X,99999999.0
U,1.0,663-1093R,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1093R,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1094R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1095R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1096R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1097R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1100,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1100,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1101,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1101,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1102,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1102,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1103,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1103,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1104,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1104,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1105L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1105L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1105R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1105R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1106L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1106L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1106R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1106R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1107L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
